Seccion,Categoría,Subcategoría,Concepto,Descripción,Url,Complejidad tecnica,Complejidad tactica,Enfoque Tecnico/Tactico,Nivel
Ataque,Técnica Individual,Cambios Dirección,Cambios de dirección,(Sin descripción específica),https://youtu.be/,1,0,Concepto base: alterar la trayectoria de desplazamiento.,1
Ataque,Técnica Individual,Finalizaciones,Finalizaciones,(Sin descripción específica),https://youtu.be/,1,0,Concepto base de culminar al aro.,1
Ataque,Técnica Individual,Manejo de balón,Manejo de balón,(Sin descripción específica),https://youtu.be/,1,0,Concepto general de ball handling.,1
Ataque,Técnica Individual,Paradas,Paradas,(Sin descripción específica),https://youtu.be/,1,0,Control del cuerpo para detener la inercia.,1
Ataque,Técnica Individual,Pase,Pase,(Sin descripción específica),https://youtu.be/,1,0,Mecánica básica de transmisión del balón.,1
Ataque,Técnica Individual,Salidas,Salidas,(Sin descripción específica),https://youtu.be/,1,0,Concepto de iniciar el movimiento desde parado.,1
Ataque,Técnica Individual,Tiro,Tiro,(Sin descripción específica),https://youtu.be/,2,0,Acción básica de lanzar a canasta.,1
Ataque,Técnica Individual,Cambios Dirección,Cambio por delante,(Sin descripción específica),https://youtu.be/,2,0,Crossover básico: cambio de mano frontal protegiendo el balón.,2
Ataque,Técnica Individual,Finalizaciones,Abrazar balón,Finalización sencilla de trabajar...,https://youtu.be/Yfa-_diETdc,2,0,Proteger balón pegándolo al pecho en el tráfico.,2
Ataque,Técnica Individual,Finalizaciones,Finalización tras pase,(Sin descripción específica),https://youtu.be/,3,0,Coordinación recepción-tiro sin pasos de más.,2
Ataque,Técnica Individual,Manejo de balón,Bote de velocidad,(Sin descripción específica),https://youtu.be/8PXFc9SbdLM,2,0,Empujar balón hacia delante para máxima carrera.,2
Ataque,Técnica Individual,Manejo de balón,Bote protección,Bote que se realiza para evitar...,https://youtu.be/Z94GPkvjb6U,3,0,Uso del cuerpo y brazo libre como escudo.,2
Ataque,Técnica Individual,Paradas,Dos tiempos exterior,(Sin descripción específica),https://youtu.be/iaIDwhAfKO0,3,0,Parada 1-2 apoyando primero el pie lejano al aro.,2
Ataque,Técnica Individual,Paradas,Dos tiempos interior,(Sin descripción específica),https://youtu.be/Yk8XWQqxRgo,3,0,Parada 1-2 apoyando primero el pie cercano al aro.,2
Ataque,Técnica Individual,Paradas,Parada Un tiempo,(Sin descripción específica),https://youtu.be/Dz4aBGw0UJY,4,0,Caer con ambos pies simultáneamente para elegir pivote.,2
Ataque,Técnica Individual,Pase,Mano a mano,(Sin descripción específica),https://youtu.be/,2,0,Entrega del balón a corta distancia (Handoff).,2
Ataque,Técnica Individual,Salidas,Salida abierta,(Sin descripción específica),https://youtu.be/,2,0,Salida con el pie del mismo lado del balón (rápida).,2
Ataque,Técnica Individual,Salidas,Salida cruzada,(Sin descripción específica),https://youtu.be/mHdMmlyK5CY,2,0,Cruzar pierna y balón para proteger la salida.,2
Ataque,Técnica Individual,Tiro,Mecanica tiro,(Sin descripción específica),https://youtu.be/,6,0,Ejecución técnica correcta del lanzamiento (Codo Muñeca).,2
Ataque,Técnica Individual,Tiro,Tiro libre,(Sin descripción específica),https://youtu.be/OPTmkIjH0OQ,3,0,Mecánica repetitiva y rutina mental sin oposición.,2
Ataque,Táctica Individual,Juego con balón,Si def esta cerca ataco,(Sin descripción específica),https://youtu.be/,4,6,Principio de lectura: castigar la presión.,2
Ataque,Táctica Individual,Juego con balón,Si def esta lejos tiro,(Sin descripción específica),https://youtu.be/,4,5,Principio de lectura: castigar el espacio (flotación).,2
Ataque,Táctica Individual,Juego sin balon,Cambio chip defensa/ataque,(Sin descripción específica),https://youtu.be/,0,8,Velocidad de reacción mental en transiciones.,2
Ataque,Táctica Individual,Juego sin balon,Corte a canasta,(Sin descripción específica),https://youtu.be/xjcFgK4ch84,3,7,Timing para ocupar el espacio vacío en el momento justo.,2
Ataque,Táctica Individual,Juego sin balon,Juego sin balón,(Sin descripción específica),https://youtu.be/,0,5,Concepto general de actividad ofensiva sin posesión.,2
Ataque,Táctica Individual,Juego sin balon,Pasar y moverse,(Sin descripción específica),https://youtu.be/,2,6,Hábito táctico básico (Give & Go).,2
Ataque,Táctica Colectiva,Contrataque,Contrataque,(Sin descripción específica),https://youtu.be/_lpdZPl5B_8,0,5,Concepto de transición rápida defensa-ataque.,2
